도시,인구수,남자,여자,남자 + 여자,남자 - 여자,남자 - 여자_절대값,남자 / 여자,여자_100명당_남자수
서울,9741381,4757642,4984229,9741871,-226587,226587,0.9545392075685126,95.45392075685126
부산,3416918,1680933,1735985,3416918,-55052,55052,0.9682877444217548,96.82877444217549
인천,2925967,1472081,1453886,2925967,18195,18195,1.0125147363686011,101.25147363686011
대구,2453041,1218326,1234715,2453041,-16389,16389,0.9867264915385332,98.67264915385331
대전,1525849,765718,760131,1525849,5587,5587,1.0073500488731548,100.73500488731548
광주,1496172,745122,751050,1496172,-5928,5928,0.9921070501298183,99.21070501298182
수원,1193894,601097,592797,1193894,8300,8300,1.014001420385056,101.4001420385056
울산,1147037,589233,557804,1147037,31429,31429,1.0563441638998645,105.63441638998646
고양,1068641,523803,544838,1068641,-21035,21035,0.961392193642881,96.1392193642881
용인,1061440,526824,534617,1061441,-7793,7793,0.9854232095126043,98.54232095126044
총합,26030340,12880779,13150052,26030831,-269273,269273,0.979523046752971,97.9523046752971
